2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
DG,PLD,BHI,PEG,MCO,HLT,USD,SLB,IFF,ED,CTSH
WDC,SHW,EL,YUM,ZBH,MCK,EIX,PCAR,KEYS,CMI,FTNT
CCL,DG,BXP,CCL,AVB,ZBH,PAYX,PAYX,ADM,HLT,GIS
EQR,EIX,PEG,IP,KR,AZO,PH,ES,EPAM,DD,BIIB
VX1,LB,ATVI,SHW,XEL,LRCX,DFS,PEG,RMD,IDXX,PRU
BBBY,CMG,MTB,BAX,DG,VTR,A,EOG,MCK,BK,CEG
NUE,MYL,EIX,HCA,TSN,PAYX,FE,ROK,WBA,AMP,LEN
MJN,PEG,ROP,NWL,VFC,TWTR,CNC,AFL,MTCH,OTIS,FAST
VTR,VTR,ED,WMB,EW,CXO,PPL,WEC,WELL,MTD,KVUE
APTV,NFLX,EQIX,UAL,IP,ES,ADM,CTVA,FRC,TDG,SYY
RIG,VNO,VTR,CMI,HCN,PPL,WLTW,MSI,FAST,KHC,ODFL
MYL,CCL,PXD,APH,EQR,DTE,LUV,WBA,EA,AME,OTIS
PEAK,MJN,PGR,XEL,WDC,MTB,SWK,SWK,OTIS,EA,ON
CMG,HCP,AMP,ZBH,DLR,PCAR,FLT,FAST,VRSK,FTNT,ALL
TT,AZO,K,PGR,HPE,PH,MCHP,ADM,XEL,ILMN,YUM
CERN,RAI,OMC,FITB,ADSK,WLTW,DLR,MCK,EFX,CSGP,GWW
DOV,ROST,CERN,EW,PCG,FTV,TMUS,SPG,CBRE,VICI,FIS
SYMC,BXP,CAG,OMC,MYL,DFS,PXD,AWK,MNST,WELL,CSGP
ROK,CERN,XEL,KEY,APTV,CLX,DTE,AME,DHI,PEG,EXC
ZTS,ORLY,DLTR,PAYX,CXO,CCL,MCK,DFS,AFL,KEYS,ROK
COG,ED,TROW,WDC,ADM,CMI,TWTR,LUV,AVB,SBAC,PPG
AZO,OMC,HIG,CXO,IR,MNST,VRSK,GLW,BIIB,RMD,IT
